response_id,comment,survey_date,department,role
ES001,リモートワーク環境が整備されており、自宅でも効率的に業務を遂行できています。特にコミュニケーションツールの充実度が高く、チームとの連携に支障はありません。,2025-03-01,営業部,マネージャー
ES002,昇進の基準が不透明で、何を達成すればキャリアアップできるのかわかりません。上司との面談でも具体的なフィードバックがもらえず、モチベーションが低下しています。,2025-03-01,マーケティング部,一般社員
ES003,社内研修プログラムが充実しており、技術スキルの向上に大いに役立っています。特にクラウド技術の研修は即座に業務に活かせる内容でした。,2025-03-01,開発部,シニアエンジニア
ES004,残業が常態化しています。月40時間以上の残業が3ヶ月連続で続いており、ワークライフバランスが崩れています。人員補充を検討してほしいです。,2025-03-01,開発部,一般社員
ES005,新しいオフィスの設備は快適ですが、会議室の数が足りません。打ち合わせのたびに空き会議室を探すのに時間がかかります。フリーアドレスで場所を柔軟に使えるようにしてほしい。,2025-03-01,企画部,マネージャー
ES006,部署間の連携が弱いと感じます。他部署との情報共有が不足しており、同じような業務を別々の部署で重複して行っているケースがあります。,2025-03-01,経理部,一般社員
ES007,メンタルヘルスサポートの強化をお願いします。ストレスチェックの結果は問題なしですが、実際には業務量の多さから心理的な負担を感じている社員が多いです。,2025-03-01,人事部,マネージャー
ES008,社食の選択肢が少なく、毎日同じようなメニューの繰り返しです。健康志向のメニューやアレルギー対応のオプションを増やしてほしいです。,2025-03-01,総務部,一般社員
ES009,技術部門のマネジメント層にもっと技術的なバックグラウンドを持つ人材を配置してほしいです。現状では技術的な判断が現場に丸投げされることが多く、意思決定が遅れがちです。,2025-03-01,開発部,リードエンジニア
ES010,フレックスタイム制度のおかげで、子供の送り迎えと仕事を両立できています。この制度を今後も継続してほしいです。コアタイムの短縮もできれば嬉しいです。,2025-03-01,営業部,一般社員
ES011,社内のDX推進プロジェクトに参加していますが、経営層の理解が不足していると感じます。デジタル化の必要性を説明しても、「今までのやり方で問題ない」という反応が多いです。,2025-03-01,情報システム部,マネージャー
ES012,新入社員のオンボーディングプロセスが改善されました。メンター制度の導入で、質問しやすい環境が整い、早期に戦力化できるようになりました。,2025-03-01,人事部,一般社員
ES013,営業ツールが古く、顧客管理が非効率です。Excelでの管理を脱却して、CRMシステムの導入を検討してほしいです。他社では既に当たり前のことです。,2025-03-01,営業部,一般社員
